feature_names,feature_importance
data_weekend_y_volume_sum_value_1_2,63.0
voice_workingh_n_duration_sum_3w,63.0
voice_workingh_n_duration_nb_2w,62.0
voice_workingh_n_duration_sum_2w,62.0
data_workingh_y_volume_sum_value_1_3w,62.0
voice_weekend_n_duration_sum_value_1_3,61.0
complaints_complaints_complaint_type_reclamation_total_nb_3m,61.0
data_roamstate_nonroaming_duration_sum_value_0_1,60.0
voice_destination_type_national_duration_value_1_3w_3_4w,58.0
data_workingh_n_volume_nb_1m,57.0
voice_termination_type_onnet_duration_sum_value_1_2w,57.0
payement_payment_mode_cb_perc_paid_value_0_1m_1_2m,57.0
voice_destination_type_national_duration_value_0_1m_1_3m,57.0
voice_destination_type_national_duration_sum_value_2_3,57.0
payement_payment_way_ussd_perc_paid_value_0_1m_1_2m,56.0
voice_call_direction_oc_duration_sum_value_0_1w,56.0
payement_payment_way_na_perc_paid_nb_3m,55.0
data_workingh_y_duration_sum_value_0_1,55.0
complaints_complaints_complaint_type_reclamation_total_sum_value_1_3,55.0
data_workingh_n_volume_sum_value_1_3w,54.0
voice_destination_type_national_duration_value_0_1m_1_2m,54.0
payement_payment_mode_cb_perc_paid_sum_value_1_2,53.0
payement_payment_way_internet_perc_paid_sum_value_2_3,53.0
complaints_complaints_workingh_y_total_value_0_1m_1_2m,51.0
payement_payment_way_crm_pay_delay_could_sum_2m,51.0
voice_destination_type_international_duration_sum_value_1_3,51.0
voice_call_direction_oc_duration_value_0_1m_1_2m,51.0
complaints_complaints_weekend_n_total_sum_value_1_2w,50.0
data_roamstate_nonroaming_volume_sum_value_0_1,49.0
complaints_complaints_weekend_n_duration_nb_2m,49.0
payement_payment_mode_na_open_amount_nb_2m,49.0
complaints_complaints_weekend_n_total_sum_value_0_1,49.0
payement_invoice_status_open_open_amount_sum_value_1_3,49.0
payement_payment_way_internet_perc_paid_sum_2m,48.0
data_workingh_n_volume_nb_3w,48.0
voice_workingh_n_duration_sum_value_1_2,48.0
payement_invoice_status_open_open_amount_value_0_1m_1_2m,48.0
complaints_complaints_complaint_type_reclamation_total_value_1_2m_2_3m,47.0
complaints_complaints_complaint_status_resolu_total_value_0_1w_1_2w,47.0
voice_weekend_n_duration_sum_value_1_2,46.0
voice_weekend_n_duration_sum_2w,46.0
voice_weekend_n_duration_sum_value_1_2w,45.0
voice_weekend_n_duration_sum_3w,45.0
data_roamstate_nonroaming_volume_sum_value_1_3w,45.0
payement_payment_mode_na_open_amount_nb_1m,45.0
complaints_complaints_workingh_y_total_sum_value_1_3w,45.0
voice_call_direction_oc_duration_sum_value_1_2,44.0
data_workingh_n_volume_sum_3w,43.0
voice_call_direction_oc_duration_sum_value_1_3,43.0
voice_call_direction_oc_duration_sum_value_3_4w,43.0
voice_weekend_n_duration_nb_3w,42.0
voice_weekend_n_duration_sum_1m,42.0
voice_destination_type_international_duration_sum_value_1_2,42.0
payement_payment_way_internet_perc_paid_sum_value_1_2,42.0
voice_weekend_n_duration_nb_1m,42.0
payement_payment_way_ussd_perc_paid_nb_1m,41.0
voice_weekend_n_duration_sum_value_0_1w,41.0
payement_payment_way_crm_pay_delay_should_sum_value_1_3,41.0
complaints_complaints_complaint_type_retention_total_nb_3m,41.0
payement_payment_mode_cb_open_amount_nb_1m,40.0
payement_payment_mode_na_open_amount_value_0_1m_1_2m,40.0
complaints_complaints_workingh_y_total_nb_2m,40.0
payement_payment_mode_especes_perc_paid_value_0_1m_1_3m,40.0
data_roamstate_nonroaming_duration_sum_value_1_3w,40.0
voice_workingh_n_duration_sum_2m,39.0
voice_workingh_n_duration_sum_1w,39.0
complaints_complaints_complaint_status_resolu_total_value_0_1m_1_3m,39.0
complaints_complaints_complaint_type_reclamation_total_value_0_1m_1_2m,38.0
voice_workingh_n_duration_sum_1m,37.0
payement_payment_way_ussd_perc_paid_value_0_1m_1_3m,37.0
data_weekend_y_volume_sum_value_0_1,37.0
payement_payment_way_internet_perc_paid_value_0_1m_1_2m,36.0
voice_call_direction_ic_duration_sum_3m,36.0
voice_weekend_n_duration_sum_value_3_4w,36.0
payement_payment_mode_especes_perc_paid_sum_2m,36.0
complaints_complaints_complaint_type_retention_total_value_0_1m_1_3m,35.0
payement_payment_way_internet_perc_paid_nb_2m,34.0
complaints_complaints_weekend_n_total_value_0_1m_1_2m,33.0
